Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2019,December,1 North West Metro, Banyule," 7,072 "," 5,381.4 "
2019,December,1 North West Metro, Brimbank," 15,178 "," 7,219.6 "
2019,December,1 North West Metro, Darebin," 11,442 "," 6,972.0 "
2019,December,1 North West Metro, Hobsons Bay," 5,002 "," 5,124.7 "
2019,December,1 North West Metro, Hume," 15,929 "," 6,836.8 "
2019,December,1 North West Metro, Maribyrnong," 6,917 "," 7,343.5 "
2019,December,1 North West Metro, Melbourne," 27,046 "," 14,930.6 "
2019,December,1 North West Metro, Melton," 9,103 "," 5,530.0 "
2019,December,1 North West Metro, Moonee Valley," 6,491 "," 4,986.8 "
2019,December,1 North West Metro, Moreland," 10,873 "," 5,851.9 "
2019,December,1 North West Metro, Nillumbik," 1,656 "," 2,546.1 "
2019,December,1 North West Metro, Whittlesea," 12,096 "," 5,237.4 "
2019,December,1 North West Metro, Wyndham," 13,241 "," 4,908.8 "
2019,December,1 North West Metro, Yarra," 11,097 "," 11,034.9 "
2019,December,1 North West Metro,Total," 153,143 "," 6,780.5 "
2019,December,2 Eastern, Alpine, 426 ," 3,327.8 "
2019,December,2 Eastern, Bass Coast," 1,843 "," 5,106.3 "
2019,December,2 Eastern, Baw Baw," 3,615 "," 6,785.9 "
2019,December,2 Eastern, Benalla, 963 ," 6,839.6 "
2019,December,2 Eastern, Boroondara," 6,186 "," 3,377.1 "
2019,December,2 Eastern, East Gippsland," 3,660 "," 7,734.3 "
2019,December,2 Eastern, Greater Shepparton," 6,358 "," 9,540.3 "
2019,December,2 Eastern, Indigo, 436 ," 2,625.9 "
2019,December,2 Eastern, Knox," 8,805 "," 5,360.5 "
2019,December,2 Eastern, Latrobe," 10,116 "," 13,380.4 "
2019,December,2 Eastern, Manningham," 3,829 "," 3,012.1 "
2019,December,2 Eastern, Mansfield, 316 ," 3,468.0 "
2019,December,2 Eastern, Maroondah," 6,006 "," 5,044.3 "
2019,December,2 Eastern, Mitchell," 3,153 "," 6,812.9 "
2019,December,2 Eastern, Moira," 1,944 "," 6,497.0 "
2019,December,2 Eastern, Monash," 9,086 "," 4,485.1 "
2019,December,2 Eastern, Murrindindi, 607 ," 4,147.8 "
2019,December,2 Eastern, South Gippsland," 1,321 "," 4,432.0 "
2019,December,2 Eastern, Strathbogie, 450 ," 4,188.2 "
2019,December,2 Eastern, Towong, 151 ," 2,485.5 "
2019,December,2 Eastern, Wangaratta," 1,767 "," 6,034.8 "
2019,December,2 Eastern, Wellington," 3,280 "," 7,401.7 "
2019,December,2 Eastern, Whitehorse," 7,291 "," 4,084.5 "
2019,December,2 Eastern, Wodonga," 2,805 "," 6,624.4 "
2019,December,2 Eastern, Yarra Ranges," 6,175 "," 3,877.0 "
2019,December,2 Eastern,Total," 90,589 "," 5,270.2 "
2019,December,3 Southern Metro, Bayside," 4,024 "," 3,766.1 "
2019,December,3 Southern Metro, Cardinia," 5,129 "," 4,561.7 "
2019,December,3 Southern Metro, Casey," 16,811 "," 4,763.6 "
2019,December,3 Southern Metro, Frankston," 11,054 "," 7,720.1 "
2019,December,3 Southern Metro, Glen Eira," 5,706 "," 3,668.3 "
2019,December,3 Southern Metro, Greater Dandenong," 14,710 "," 8,704.2 "
2019,December,3 Southern Metro, Kingston," 8,941 "," 5,410.2 "
2019,December,3 Southern Metro, Mornington Peninsula," 8,680 "," 5,180.9 "
2019,December,3 Southern Metro, Port Phillip," 9,825 "," 8,472.5 "
2019,December,3 Southern Metro, Stonnington," 9,077 "," 7,694.0 "
2019,December,3 Southern Metro,Total," 93,957 "," 5,848.0 "
2019,December,4 Western, Ararat, 855 ," 7,220.0 "
2019,December,4 Western, Ballarat," 8,958 "," 8,184.6 "
2019,December,4 Western, Buloke, 241 ," 3,923.7 "
2019,December,4 Western, Campaspe," 2,924 "," 7,760.2 "
2019,December,4 Western, Central Goldfields, 893 ," 6,721.7 "
2019,December,4 Western, Colac-Otway," 1,290 "," 5,994.5 "
2019,December,4 Western, Corangamite, 528 ," 3,303.4 "
2019,December,4 Western, Gannawarra, 630 ," 5,986.0 "
2019,December,4 Western, Glenelg," 1,092 "," 5,558.0 "
2019,December,4 Western, Golden Plains, 485 ," 2,051.0 "
2019,December,4 Western, Greater Bendigo," 8,460 "," 7,159.6 "
2019,December,4 Western, Greater Geelong," 16,537 "," 6,393.4 "
